25	200	1
0	40	50	0	0	1236	0	0	0
20	42	15	-10	122	152	10	49	0
22	40	15	40	92	122	10	0	24
24	38	15	-40	148	178	10	22	0
35	67	85	-30	139	169	10	40	0
36	65	85	-8	43	73	10	72	0
37	65	82	-20	124	154	10	41	0
38	62	80	30	75	105	10	0	43
40	60	85	30	85	115	10	0	35
41	58	75	20	92	122	10	0	37
43	55	85	-30	128	158	10	38	0
49	42	12	10	104	134	10	0	20
51	55	20	-6	83	113	10	63	0
53	20	50	5	91	121	10	0	100
56	50	35	-6	130	160	10	90	0
58	15	10	-16	152	182	10	75	0
59	10	20	19	42	72	10	0	97
60	15	60	17	155	185	10	0	70
63	65	20	6	39	69	10	0	51
64	45	30	17	53	83	0	0	103
66	41	37	-18	133	163	10	84	0
69	31	52	27	41	71	10	0	78
70	35	69	-17	180	210	10	60	0
72	63	65	8	30	60	10	0	36
75	5	5	16	74	104	10	0	58
76	60	12	31	75	105	0	0	104
77	23	3	-13	150	180	10	87	0
78	8	56	-27	90	120	10	69	0
84	57	29	18	96	126	10	0	66
87	12	24	13	90	120	10	0	77
88	24	58	-9	67	97	10	98	0
90	37	47	6	86	116	10	0	56
97	4	18	-19	120	150	10	59	0
98	26	52	9	46	76	10	0	88
100	31	67	-5	180	210	10	53	0
103	45	30	-17	53	83	10	64	0
104	60	12	-31	75	105	10	76	0
